method,question_id,query_type,llm_judge_score,token_f1,exact_match,contains_answer,composite_score,generative_score,extractive_score
semantic_rag,5a8b57f25542995d1e6f1371,local,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a8c7595554299585d9e36b6,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5a85ea095542994775f606a8,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5adbf0a255429947ff17385a,local,1.0,0.0,True,True,0.75,1.0,0.5
semantic_rag,5a8e3ea95542995a26add48d,hybrid,0.5,0.5714285714285715,False,True,0.5178571428571429,0.75,0.28571428571428575
semantic_rag,5abd94525542992ac4f382d2,hybrid,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5a85b2d95542997b5ce40028,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5a87ab905542996e4f3088c1,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a7bbb64554299042af8f7cc,hybrid,0.5,1.0,True,True,0.875,0.75,1.0
semantic_rag,5a8db19d5542994ba4e3dd00,local,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a7166395542994082a3e814,hybrid,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5a877e5d5542993e715abf7d,hybrid,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5ab3b0bf5542992ade7c6e39,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5ab56e32554299637185c594,local,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5ab6d09255429954757d337d,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a75e05c55429976ec32bc5f,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5ab3e45655429976abd1bcd4,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5ab29c24554299449642c932,local,0.5,1.0,True,True,0.875,0.75,1.0
semantic_rag,5ae0d4c9554299603e418468,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5a8133725542995ce29dcbdb,local,1.0,0.8571428571428571,False,True,0.7142857142857143,1.0,0.42857142857142855
semantic_rag,5ae7a8175542993210983ed8,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5ae6050f55429929b0807a5e,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5adddccd5542997dc7907069,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5ae2070a5542994d89d5b313,local,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5ae22b8d554299234fd0440f,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a722b8655429971e9dc9329,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5adf37a95542995ec70e8f97,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5abd259d55429924427fcf1a,local,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5a828c8355429966c78a6a50,hybrid,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5a8a3e745542996c9b8d5e70,hybrid,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5ac23ff0554299636651994d,hybrid,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5ae4a3265542995ad6573de5,local,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5ae0361155429925eb1afc2c,hybrid,0.5,0.5,False,True,0.5,0.75,0.25
semantic_rag,5abc0a5d5542993f40c73c64,local,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a7cc50e554299452d57ba3e,local,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5abf63f15542997ec76fd3ea,hybrid,0.5,0.6666666666666666,False,True,0.5416666666666666,0.75,0.3333333333333333
semantic_rag,5a8ef2a75542995a26add583,hybrid,0.0,1.0,True,True,0.75,0.5,1.0
semantic_rag,5a80721b554299485f5985ef,hybrid,0.0,1.0,False,True,0.5,0.5,0.5
semantic_rag,5ab51dae5542991779162d82,local,0.5,0.0,True,True,0.625,0.75,0.5
semantic_rag,5a7571135542992d0ec05f98,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5a7a0e1e5542990783324e1a,local,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5a74106b55429979e288289e,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5a79311755429970f5fffe67,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5ab2d3df554299194fa9352c,hybrid,0.8,0.0,False,False,0.2,0.4,0.0
semantic_rag,5a760ab65542994ccc918697,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a7d54165542995f4f402256,hybrid,0.5,0.0,False,False,0.125,0.25,0.0
semantic_rag,5ab859a955429934fafe6d7b,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5add61d65542995b365fab21,hybrid,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,5a8e068b5542995085b37384,local,1.0,1.0,True,True,1.0,1.0,1.0
semantic_rag,5abbf698554299114383a0b5,hybrid,1.0,1.0,True,True,1.0,1.0,1.0
