method,phase,prompt_tokens,completion_tokens,total_tokens,calls,estimated_cost_usd,elapsed_seconds
semantic_rag,semantic_query,41471,2421,43892,27,,
semantic_rag,evaluation,3487,470,3957,18,,
semantic_rag,__total__,44958,2891,47849,45,0.0,132.6043166250165
rerank_semantic,semantic_query,41104,2564,43668,27,,
rerank_semantic,evaluation,3630,492,4122,18,,
rerank_semantic,__total__,44734,3056,47790,45,0.0,119.25796291598817
hybrid_rag,semantic_query,571,0,571,9,,
hybrid_rag,graph_query_estimate,571,2437,3008,18,,
hybrid_rag,hybrid_query,44141,1907,46048,18,,
hybrid_rag,evaluation,2974,436,3410,18,,
hybrid_rag,__total__,48257,4780,53037,63,0.0,210.4556385000178
frontier_rag,semantic_query,702,0,702,11,,
frontier_rag,frontier_grade,21107,13,21120,18,,
frontier_rag,frontier_generate,31577,1780,33357,14,,
frontier_rag,evaluation,3279,431,3710,18,,
frontier_rag,graph_query_estimate,131,337,468,4,,
frontier_rag,hybrid_query,9287,432,9719,4,,
frontier_rag,__total__,66083,2993,69076,69,0.0,161.1487562090042
