method,phase,prompt_tokens,completion_tokens,total_tokens,calls,estimated_cost_usd,elapsed_seconds
semantic_rag,semantic_query,14744,46,14790,36,,
semantic_rag,evaluation,956,496,1452,24,,
semantic_rag,__total__,15700,542,16242,60,0.0,32.748532750003505
graph_rag,graph_query_estimate,215,2464,2679,24,,
graph_rag,evaluation,3369,677,4046,24,,
graph_rag,__total__,3584,3141,6725,48,0.0,477.8677461250045
graph_local_rag,graph_query_estimate,215,1412,1627,24,,
graph_local_rag,evaluation,2315,555,2870,24,,
graph_local_rag,__total__,2530,1967,4497,48,0.0,150.71541850001086
hybrid_rag,semantic_query,215,0,215,12,,
hybrid_rag,graph_query_estimate,215,1373,1588,24,,
hybrid_rag,hybrid_query,16850,335,17185,24,,
hybrid_rag,evaluation,1237,442,1679,24,,
hybrid_rag,__total__,18517,2150,20667,84,0.0,142.67639054200845
lazygraph_rag,graph_query_estimate,215,1179,1394,24,,
lazygraph_rag,evaluation,2081,658,2739,24,,
lazygraph_rag,__total__,2296,1837,4133,48,0.0,191.30399520799983
adaptive_rag,semantic_query,7393,11,7404,24,,
adaptive_rag,graph_query_estimate,127,641,768,12,,
adaptive_rag,hybrid_query,8658,127,8785,12,,
adaptive_rag,evaluation,1046,470,1516,24,,
adaptive_rag,__total__,17224,1249,18473,72,0.0,68.9173053749837
hybrid_dense_sparse,semantic_query,14815,30,14845,36,,
hybrid_dense_sparse,evaluation,944,493,1437,24,,
hybrid_dense_sparse,__total__,15759,523,16282,60,0.0,33.073795875010546
rerank_semantic,semantic_query,13701,37,13738,36,,
rerank_semantic,evaluation,950,491,1441,24,,
rerank_semantic,__total__,14651,528,15179,60,0.0,32.02805687498767
frontier_rag,semantic_query,359,0,359,19,,
frontier_rag,frontier_grade,5562,12,5574,24,,
frontier_rag,graph_query_estimate,144,1217,1361,14,,
frontier_rag,hybrid_query,10232,172,10404,14,,
frontier_rag,evaluation,1093,470,1563,24,,
frontier_rag,frontier_generate,5431,15,5446,10,,
frontier_rag,__total__,22821,1886,24707,105,0.0,98.76645174997975
