label,question_id,question_type,query_type,question,gold_answer,n_evidence
Q1,mh-inf-000-meta,inference_query,hybrid,"What company, recently scrutinized by European consumer groups for its ad-free subscription model's GDPR compliance and by EU regulators for content moderation during the Israel-Hamas war, also faces allegations of bias in suppressing Palestinian voices, as reported by TechCrunch?","Meta",3
Q2,mh-inf-001-meta,inference_query,hybrid,"Which company, featured in TechCrunch articles, is both seeking to involve parents in the oversight of teens' app usage and addressing content moderation challenges related to livestreaming during the Israel-Hamas war, while also facing criticism for alleged moderation biases affecting Palestinian voices?","Meta",3
Q3,mh-inf-002-uber,inference_query,hybrid,"What company, according to TechCrunch, experienced a 38% decrease in reported sexual assault rates between its first and second safety reports, faces criticism for inadequate background checks aimed at quick driver sign-up, and reported $394 million in operating income and $219 million in net income in the third quarter?","Uber",3
Q4,mh-inf-003-meta,inference_query,hybrid,"Which company, recently reported by TechCrunch, is not only facing scrutiny for potential non-compliance with GDPR due to its advertising subscription model but is also attempting to shift the oversight of teen social media usage to third parties, and has been accused of having a moderation bias that particularly affects Palestinian users?","Meta",3
Q5,mh-inf-004-gaza,inference_query,hybrid,"Which country, according to a Peace Studies scholar, faces a starvation risk in a region under its blockade, has previously reached understandings to cease hostilities and return life to normal, and is considered to have experienced a massive intelligence failure due to a surprise attack, as reported by sources including 'Fortune', 'Globes English | Israel Business Arena', and 'Business Today | Latest Stock Market And Economy News India'?","Gaza",3
Q6,mh-inf-005-apple,inference_query,hybrid,"Which company, according to articles from TechCrunch and The Verge, not only learns from the missteps of its competitors to deliver superior products but also enforces uniform terms on developers through its store and payment system while simultaneously justifying its choice of a default search engine on its devices due to the lack of a valid alternative?","Apple",3
Q7,mh-inf-006-apple,inference_query,hybrid,"What company is expected to focus on new Macs and chipsets at an event according to Engadget, is known for refining and polishing its products as suggested by TechCrunch, and enforces uniform terms on developers, OEMs, and carriers through its store and payment system as reported by The Verge?","Apple",3
Q8,mh-inf-007-apple,inference_query,hybrid,"Which company, recently reviewed by TechCrunch for its responsive approach to consumer feedback through its product design, also justifies its choice of Google for user privacy reasons according to The Verge, and is mentioned by the same source for enforcing uniform terms on developers, OEMs, and carriers through its store and payment system?","Apple",3
Q9,mh-inf-008-apple,inference_query,hybrid,"Which company, covered by TechCrunch for not allowing users to select their browser during iPhone setup, is also the focus of Engadget's rumors about concentrating on Macs and new chipsets at an upcoming event, and has been reported by The Verge to enforce uniform terms on developers, OEMs, and carriers through its store and payment system?","Apple",3
Q10,mh-inf-009-valve,inference_query,hybrid,"What company, covered by both Engadget and Polygon, is responsible for making 300 hardware updates since the original launch and is now releasing an improved product on November 16th, emphasizing that developers won't need to target multiple performance benchmarks?","Valve",3
