label,question_id,question_type,query_type,question,gold_answer,source
Q1,Novel-1d62116d,Fact Retrieval,local,"What agreement did Mr. Pepys make with Mr. Goodgroome for singing lessons, according to his diary?","Mr. Pepys agreed to give Mr. Goodgroome 20s. entrance and 20s. a month to teach him to sing.",Novel-4128
Q2,Novel-a8bad1cf,Fact Retrieval,local,"Where did Lady Sandwich treat Samuel Pepys kindly during his visit, as described in his diary?","Lady Sandwich treated Samuel Pepys kindly at the Wardrobe.",Novel-4128
Q3,Novel-85d1a489,Fact Retrieval,local,"At which location did the Lady treat Samuel Pepys kindly, as recounted in his diary?","Lady treated Samuel Pepys kindly at the Wardrobe.",Novel-4128
Q4,Novel-5e031204,Fact Retrieval,local,"Who accompanied Samuel Pepys on his walk into the City, as noted in his diary?","Samuel Pepys walked into the City with Mr. Moore.",Novel-4128
Q5,Novel-185686b9,Fact Retrieval,local,"Which ambassador took leave of the King, according to the diary's account of diplomatic affairs?","The Portuguese Embassador took leave of the King.",Novel-4128
Q6,Novel-6d2a190d,Fact Retrieval,local,"During the diplomatic interactions noted in Samuel Pepys's diary, which foreign envoy had an audience with the King?","The Portuguese Embassador took leave of the King.",Novel-4128
Q7,Novel-57375967,Fact Retrieval,local,"From whom did Samuel Pepys borrow money to cover his expenses, as noted in his diary entry?","Samuel Pepys borrowed money from Sir W. Batten.",Novel-4128
Q8,Novel-84c4f293,Fact Retrieval,local,"Who were the guests for whom Mr. Pepys arranged a special collation, as described in his diary?","Mr. Pepys had a collation for Sir Williams.",Novel-4128
Q9,Novel-0c88cd2e,Fact Retrieval,local,"Who shared a drink with Samuel Pepys during a social event described in the diary?","Samuel Pepys had a drink with Sir W. Pen.",Novel-4128
Q10,Novel-01c7f97c,Fact Retrieval,local,"During the events recorded in Samuel Pepys's diary, who dined with him?","Samuel Pepys had dinner with Tom Pepys.",Novel-4128
Q11,Novel-4cb346cb,Fact Retrieval,local,"Who joined Samuel Pepys for a drinking occasion, as mentioned in the diary?","Mr. Starling drank with Samuel Pepys.",Novel-4128
Q12,Novel-8d39da2e,Fact Retrieval,local,"Where did Samuel Pepys observe the Duke of York during a performance?","The Duke of York was at the Opera.",Novel-4128
Q13,Novel-4cf524cb,Fact Retrieval,local,"During a social event described in Samuel Pepys's diary, with whom did he share a drink?","Samuel Pepys drank with Mr. Moore.",Novel-4128
Q14,Novel-e31f34b7,Fact Retrieval,local,"According to Samuel Pepys's diary, who was the person with whom Pepys had a significant conversation during his daily events?","Samuel Pepys had a talk with Tom.",Novel-4128
Q15,Novel-de0b30b1,Fact Retrieval,local,"During a social gathering described in the diary, who accompanied Lady Batten?","Sir W. Pen was with Lady Batten.",Novel-4128
Q16,Novel-a296a86b,Fact Retrieval,local,"According to the diary, whom did Samuel Pepys meet during his daily affairs?","Samuel Pepys met with Mr. Moore.",Novel-4128
Q17,Novel-5d6707ec,Fact Retrieval,local,"Who was my Lord angry with during the preparations for the fleet's voyage, as described in the diary?","My Lord was angry with W. Howe.",Novel-4128
Q18,Novel-5175a85e,Fact Retrieval,local,"During his excursions in the City, whom did Samuel Pepys meet according to his diary entry?","Samuel Pepys met Mr. Salisbury.",Novel-4128
Q19,Novel-5a7c7b88,Fact Retrieval,local,"To which destination did Samuel Pepys travel in the course of his professional responsibilities, as documented in his diary?","Samuel Pepys went to Deptford.",Novel-4128
Q20,Novel-5ad931db,Fact Retrieval,local,"Where did Samuel Pepys travel during the course of his official duties, as documented in his diary?","Samuel Pepys went to Deptford.",Novel-4128
